Name,Act,[H][*:1],F[*:1],Cl[*:1],Br[*:1],I[*:1],C[*:1],[H][*:2],F[*:2],Cl[*:2],Br[*:2],I[*:2],C[*:2],N[*:2]
MOL0001,7.46,1,0,0,0,0,0,1,0,0,0,0,0,0
MOL0002,8.16,0,1,0,0,0,0,1,0,0,0,0,0,0
MOL0003,8.68,0,0,1,0,0,0,1,0,0,0,0,0,0
MOL0004,8.89,0,0,0,1,0,0,1,0,0,0,0,0,0
MOL0005,9.25,0,0,0,0,1,0,1,0,0,0,0,0,0
MOL0006,9.3,0,0,0,0,0,1,1,0,0,0,0,0,0
MOL0007,7.52,1,0,0,0,0,0,0,1,0,0,0,0,0
MOL0008,8.16,1,0,0,0,0,0,0,0,1,0,0,0,0
MOL0009,8.3,1,0,0,0,0,0,0,0,0,1,0,0,0
MOL0010,8.4,1,0,0,0,0,0,0,0,0,0,1,0,0
MOL0011,8.46,1,0,0,0,0,0,0,0,0,0,0,1,0
MOL0012,8.19,0,1,0,0,0,0,0,0,1,0,0,0,0
MOL0013,8.57,0,1,0,0,0,0,0,0,0,1,0,0,0
MOL0014,8.82,0,1,0,0,0,0,0,0,0,0,0,1,0
MOL0015,8.89,0,0,1,0,0,0,0,0,1,0,0,0,0
MOL0016,8.92,0,0,1,0,0,0,0,0,0,1,0,0,0
MOL0017,8.96,0,0,1,0,0,0,0,0,0,0,0,1,0
MOL0018,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0
MOL0019,9.35,0,0,0,1,0,0,0,0,0,1,0,0,0
MOL0020,9.22,0,0,0,1,0,0,0,0,0,0,0,1,0
MOL0021,9.3,0,0,0,0,0,1,0,0,0,0,0,1,0
MOL0022,9.52,0,0,0,0,0,1,0,0,0,1,0,0,0
MOL0023,9.54,0,0,0,0,0,1,0,0,0,0,0,0,1
